,surname,frequency
158,MADEJ,0.0018920073293977626
159,MAJCHRZAK,0.0018680252545122472
160,LEŚNIAK,0.0018640612751923272
161,JÓŹWIAK,0.0018585117041444396
162,MAJ,0.0018515747403345796
163,URBAN,0.001840871996170796
164,KOWAL,0.00183472782822492
165,ŚLIWIŃSKA,0.0018315566447689843
166,SKIBA,0.0018212502985371925
167,MAŁECKA,0.0018123313450673728
168,BEDNARCZYK,0.0018091601616114369
169,SOCHA,0.001806385376087493
170,DOBROWOLSKA,0.0018014304019375931
171,MAREK,0.0017863672805218975
172,MICHALIK,0.0017604032159764223
173,ROMANOWSKA,0.0017536644511325584
174,DOMAGAŁA,0.0017395923245468428
175,WRONA,0.001737808533852879
176,RATAJCZAK,0.001734835549362939
177,KASPRZAK,0.001732853559702979
178,WILCZYŃSKA,0.001729682376247043
179,MATUSZEWSKA,0.0017213580196752114
180,ORZECHOWSKA,0.0017066912961915077
181,RYBAK,0.0017045111075655519
182,ŚWIĄTEK,0.001700547128245632
183,OLEJNICZAK,0.001694997557197744
184,PAJĄK,0.0016944029602997562
185,KUROWSKA,0.0016807272316460326
186,BUKOWSKA,0.0016747812626661527
187,SOBOLEWSKA,0.0016733938699041806
188,OWCZAREK,0.0016517901826106174
189,MAZURKIEWICZ,0.0016511955857126293
190,ROGOWSKA,0.0016486189991546814
191,ŁUKASIK,0.0016482226012226894
192,OLEJNIK,0.0016462406115627295
193,GRZELAK,0.0016387090508548816
194,KĘDZIERSKA,0.0016371234591269137
195,KOSIŃSKA,0.0016176999604593063
196,BARAŃSKA,0.0016163125676973344
197,MATUSIAK,0.0016020422421456227
198,SOBCZYK,0.0015853935290019593
199,SKOWROŃSKA,0.0015768709734641315
200,MARCINKOWSKA,0.0015731051931102075
201,MARSZAŁEK,0.0015701322086202677
202,ZYCH,0.001562006051014432
203,CHRZANOWSKA,0.0015532852965106081
204,KUCZYŃSKA,0.0015528888985786161
205,BEDNARZ,0.001551897903748636
206,BEDNARSKA,0.0015516997047826402
207,ŚWIDERSKA,0.001551501505816644
208,LISOWSKA,0.0015473393275307282
209,SROKA,0.0015372311802649326
210,MORAWSKA,0.0015269248340331408
211,KASPRZYK,0.0015253392423051728
212,JANISZEWSKA,0.001521177064019257
213,KOZIEŁ,0.0015201860691892771
214,MUSZYŃSKA,0.0015071049374335414
215,CHMIEL,0.0015055193457055734
216,BIAŁEK,0.0014956093974057738
217,MAŁEK,0.0014914472191198578
218,GRZYBOWSKA,0.00148688864290195
219,KWIECIEŃ,0.0014789606842621102
220,JĘDRZEJEWSKA,0.0014734111132142223
221,WITEK,0.0014674651442343426
222,KRZEMIŃSKA,0.0014656813535403785
223,PLUTA,0.0014656813535403785
224,MARCZAK,0.0014640957618124106
225,OSIŃSKA,0.0014611227773224707
226,TUREK,0.0014597353845604987
227,CZAJKA,0.0014581497928325307
228,PIEKARSKA,0.0014551768083425909
229,PALUCH,0.001449429038328707
230,CZAJA,0.001448041645566735
231,KUBICKA,0.0014432848703828313
232,ŻUKOWSKA,0.0014373389014029514
233,CZECH,0.0014359515086409794
234,MARZEC,0.0014331767231170354
235,JANOWSKA,0.0014329785241510395
236,BIERNACKA,0.0014254469634431917
237,MICHAŁOWSKA,0.0014244559686132118
238,SZYDŁOWSKA,0.0014208883872252839
239,PRZYBYSZ,0.0014151406172114
240,GOŁĘBIEWSKA,0.00141414962238142
241,ŚLIWA,0.0014074108575375562
242,STEFANIAK,0.0014072126585715603
243,SERAFIN,0.0014068162606395683
244,STANISZEWSKA,0.0014064198627075763
245,KACZOR,0.0013955189195777966
246,RUDNICKA,0.0013915549402578767
247,LECH,0.0013903657464619007
248,MURAWSKA,0.0013901675474959046
249,POPŁAWSKA,0.0013889783536999289
250,LEWICKA,0.0013856089712779968
251,KULESZA,0.0013844197774820208
252,DĘBSKA,0.001381050395060089
253,SMOLIŃSKA,0.001379266604366125
254,KUJAWA,0.001377086415740169
255,GÓRA,0.0013747080281482171
256,PODGÓRSKA,0.0013709422477942933
257,RAK,0.0013695548550323212
258,KACPRZAK,0.0013659872736443933
259,STACHOWIAK,0.0013610322994944935
260,PIĄTKOWSKA,0.0013556809274126017
261,PIETRZYK,0.0013552845294806097
262,CIEŚLIK,0.0013536989377526418
263,BANACH,0.00134834756567075
264,SOWIŃSKA,0.0013358610308130021
265,MATYSIAK,0.0013346718370170264
266,NIEMIEC,0.0013320952504590783
267,BANAŚ,0.0013301132607991184
268,ROSIŃSKA,0.0013301132607991184
269,KARCZEWSKA,0.0013261492814791984
270,KLIMCZAK,0.0013215907052612906
271,GOŁĘBIOWSKA,0.0013160411342134028
272,DROZD,0.0013148519404174268
273,ŻURAWSKA,0.0013096987673015309
274,ŻUREK,0.001309104170403543
275,ZAWADA,0.0013085095735055551
276,GODLEWSKA,0.0013069239817775872
277,BIENIEK,0.0013027618034916711
278,AUGUSTYNIAK,0.0012976086303757752
279,CZYŻ,0.0012936446510558555
280,KOMOROWSKA,0.0012900770696679276
281,MELNYK,0.0012855184934500196
