,surname,frequency
158,SOSNOWSKI,0.0018712537036071548
159,KOWAL,0.001870647465906202
160,SKIBA,0.0018704453866725513
161,LEŚNIAK,0.0018653934058312793
162,MAJ,0.0018558956818496878
163,JÓŹWIAK,0.0018474083540363508
164,URBAN,0.0018472062748027
165,MAJCHRZAK,0.0018449834032325401
166,SOCHA,0.001811640329680145
167,ŚLIWIŃSKI,0.0018102257750445888
168,MAŁECKI,0.0018078008242407783
169,MAREK,0.0018029509226331572
170,BEDNARCZYK,0.0017987072587264887
171,DOMAGAŁA,0.0017920386440160095
172,KASPRZAK,0.0017631413136039336
173,DOBROWOLSKI,0.0017621309174356793
174,WRONA,0.001757078936594407
175,PAJĄK,0.0017435396279397981
176,MICHALIK,0.0017427313110051947
177,MATUSZEWSKI,0.0017378814093975735
178,RATAJCZAK,0.0017259587346121715
179,OLEJNICZAK,0.0017041341773778764
180,ŚWIĄTEK,0.0016992842757702553
181,ORZECHOWSKI,0.0016950406118635868
182,WILCZYŃSKI,0.001689786551788664
183,ROMANOWSKI,0.0016877657594521552
184,KUROWSKI,0.0016839262540127883
185,OLEJNIK,0.0016586663498064282
186,RYBAK,0.0016580601121054756
187,ŁUKASIK,0.0016548268443670616
188,ROGOWSKI,0.0016519977350959493
189,BUKOWSKI,0.0016455311996191211
190,MAZURKIEWICZ,0.0016455311996191211
191,GRZELAK,0.001643914565749914
192,SROKA,0.0016344168417683227
193,OWCZAREK,0.001631991890964512
194,SOBOLEWSKI,0.0016267378308895892
195,KOSIŃSKI,0.0016091569375619626
196,KĘDZIERSKI,0.001601477926683229
197,BARAŃSKI,0.0015972342627765606
198,ZYCH,0.001594607232739099
199,BEDNARZ,0.0015855136672248095
200,MARSZAŁEK,0.0015814720825517918
201,SOBCZYK,0.0015610620799530529
202,MATUSIAK,0.0015556059406444792
203,SKOWROŃSKI,0.0015533830690743196
204,MARCINKOWSKI,0.0015519685144387634
205,CHRZANOWSKI,0.001549341484401302
206,ŚWIDERSKI,0.0015465123751301896
207,LISOWSKI,0.0015461082166628877
208,KOZIEŁ,0.0015414603942889176
209,KASPRZYK,0.0015303460364381192
210,BEDNARSKI,0.0015275169271670068
211,BIAŁEK,0.0015261023725314507
212,PLUTA,0.001508521479203824
213,KWIECIEŃ,0.0015052882114654099
214,WITEK,0.0015044798945308064
215,GRZYBOWSKI,0.0015040757360635045
216,KUCZYŃSKI,0.0015028632606615994
217,PALUCH,0.0014961946459511202
218,CHMIEL,0.0014935676159136587
219,CZAJKA,0.0014909405858761974
220,TUREK,0.0014909405858761974
221,JĘDRZEJEWSKI,0.001489728110474292
222,JANISZEWSKI,0.0014895260312406413
223,MUSZYŃSKI,0.0014856865258012744
224,MARCZAK,0.0014846761296330201
225,MORAWSKI,0.0014836657334647656
226,MAŁEK,0.0014693181078755532
227,MARZEC,0.0014571933538565004
228,CZAJA,0.0014549704822863405
229,ŚLIWA,0.0014533538484171335
230,ŻUKOWSKI,0.0014531517691834827
231,KACZOR,0.0014519392937815774
232,KUBICKI,0.0014464831544730035
233,PIEKARSKI,0.0014418353320990334
234,RAK,0.0014404207774634773
235,CZECH,0.0014339542419866491
236,PRZYBYSZ,0.00142728562727617
237,SZCZĘSNY,0.00142728562727617
238,OSIŃSKI,0.0014208190917993418
239,KRZEMIŃSKI,0.0014141504770888626
240,GOŁĘBIEWSKI,0.0014131400809206083
241,STEFANIAK,0.001412129684752354
242,JANOWSKI,0.0014101088924158452
243,KULESZA,0.0014048548323409222
244,BIERNACKI,0.0014012174061352064
245,LECH,0.0013921238406209167
246,SZYDŁOWSKI,0.0013890926521161536
247,SMOLIŃSKI,0.0013888905728825026
248,BANACH,0.0013870718597796448
249,SERAFIN,0.0013860614636113902
250,KUJAWA,0.0013842427505085324
251,MICHAŁOWSKI,0.0013791907696672605
252,GÓRA,0.0013775741357980533
253,LEWICKI,0.0013759575019288463
254,STANISZEWSKI,0.0013719159172558286
255,KACPRZAK,0.0013705013626202724
256,CIEŚLIK,0.0013692888872183673
257,MURAWSKI,0.0013666618571809058
258,RUDNICKI,0.001366459777947255
259,POPŁAWSKI,0.001361205717872332
260,STACHOWIAK,0.0013581745293675688
261,DĘBSKI,0.001354537103161853
262,PIETRZYK,0.0013502934392551845
263,DROZD,0.0013500913600215335
264,ŻUREK,0.001347464329984072
265,PIĄTKOWSKI,0.001339179081404386
266,GÓRKA,0.0013365520513669246
267,NIEMIEC,0.0013355416551986703
268,BANAŚ,0.0013349354174977176
269,ZAWADA,0.0013331167043948596
270,GÓRNY,0.001329277198955493
271,KARCZEWSKI,0.001328873040488191
272,MATYSIAK,0.001327054327385333
273,ŻURAWSKI,0.0013260439312170788
274,PODGÓRSKI,0.0013242252181142207
275,SOWIŃSKI,0.001318566999571996
276,KLIMCZAK,0.0013161420487681856
277,GOŁĘBIOWSKI,0.0013141212564316768
278,CZYŻ,0.0013112921471605645
279,ROSIŃSKI,0.0013068464040202452
280,BIENIEK,0.0012920946199637309
281,KUŚ,0.0012898717483935712
282,GODLEWSKI,0.0012876488768234114
